productId,title,price,cj_pid,cj_vid,cj_variant_sku
cmogcdk4m0001eqaemzerr403,"Audifonos Inalambricos Bluetooth 5.3 con ANC",89900,,,
cmogcdx85000deqae31govibw,"Camara Web 4K USB con Microfono y Anillo de Luz",119900,,,
cmogcdnlp0005eqael5vyjqxs,"Cargador Inalambrico Magnetico MagSafe 15W",65000,,,
cmogcdqa60007eqaey16cazcy,"Hub USB-C 7 en 1 con HDMI 4K",99900,,,
cmogce3ds000jeqaeyvvnzapz,"Kit Ring Light 26cm con Tripode 2m para Streaming",145000,,,
cmogcdztv000feqae35xtoys4,"Lampara LED RGB de Escritorio con Control Tactil",79900,,,
cmnwl47rp00064dyszooj7rkg,"Masajeador Eléctrico de Cuello y Hombros",95000,,,
cmnwl47y300084dysrupq1obd,"Mini Proyector LED Portátil 4K",320000,,,
cmogcdts8000beqaerf5zp3ti,"Mouse Gamer Inalambrico RGB 7200 DPI",79900,,,
cmogcdrqe0009eqaeuhc44tjp,"Power Bank 20000mAh PD 22.5W con Pantalla LED",110000,,,
cmogcdlqu0003eqae4630vgmd,"Smartwatch Deportivo HD con Monitor Cardiaco",149900,,,
cmogce1na000heqaevbn83a0k,"Soporte Aluminio Ajustable para Laptop y Tablet",35000,,,
cmnwl47ie00044dys6bjdn9ik,"Traductor de Idiomas Portátil",189000,,,
